user_id,name,time,rating,text,pics,gmap_id,place,time_resp,resp,feeling,feeling_resp
1.0892683919144133e+20,Christopher Thomas Constantino,2021-06-12 23:27:17.434,4,Great pet friendly place on the American River.  Spacious cottages and full kitchens. Looks recently updated.,"[{'url': ['https://lh5.googleusercontent.com/p/AF1QipMzqA6L8syejYIyMFR9RaYfGHYSZSyWjmdZ1Bs0=w150-h150-k-no-p']}, {'url': ['https://lh5.googleusercontent.com/p/AF1QipNgRSp0ziqYg-UT48CCDr13tFI5bzhVIg7nzA9q=w150-h150-k-no-p']}, {'url': ['https://lh5.googleusercontent.com/p/AF1QipOzhKOPYozT7R_OsfSSJyczXaYjWyz4MrY1LoQu=w150-h150-k-no-p']}, {'url': ['https://lh5.googleusercontent.com/p/AF1QipNaKvP1wt418VtNS814l-RsOxSKS0FZt6Y1SjJ9=w150-h150-k-no-p']}, {'url': ['https://lh5.googleusercontent.com/p/AF1QipPULyRVrRgI77PtyeRYRLU6kab3W3MrdT65LEZi=w150-h150-k-no-p']}, {'url': ['https://lh5.googleusercontent.com/p/AF1QipOM88dgV33jQTJqwhSjkJ24cRk7M4W3ZIL5Qy3R=w150-h150-k-no-p']}, {'url': ['https://lh5.googleusercontent.com/p/AF1QipO3GOd6ERFAxisPNOtDm2yWEN2JLqDYFzi-B_WA=w150-h150-k-no-p']}, {'url': ['https://lh5.googleusercontent.com/p/AF1QipN5sy8o8IKvKnN9xdKREKdnhG5kbS_c7ZG70kMI=w150-h150-k-no-p']}, {'url': ['https://lh5.googleusercontent.com/p/AF1QipMWYKniScArdyPTkN1yuiSET03ihXOghZEvYhk3=w150-h150-k-no-p']}]",0x809a55833fbe05ad:0xee6507787fb6a26c,California,2021-06-15 14:39:44.860,Thank you for the review and photos Christopher ! Its greatly appreciated 👍,Positive,Positive
1.1478351522509277e+20,Valley Girl,2020-11-06 01:35:04.569,5,Beautiful outdoorsy getaway. Kitchenette cottages are so comfy. Great for wedding parties.,,0x809a55833fbe05ad:0xee6507787fb6a26c,California,2021-01-18 16:55:19.328,Thank you Valley Girl !! Come back again sometime! ♡,Positive,Neutral
1.1583065742891826e+20,John Barringer,2020-11-01 03:06:47.321,5,I was the chef at this evening's wedding. I was blown away by the expanse and the amenities. Beautiful,,0x809a55833fbe05ad:0xee6507787fb6a26c,California,2020-11-01 02:12:50.230,Thank you John! It means alot to us that you took the time to review Coloma Cottages. Please come back as a guest sometime 🙏 ☺,Positive,Neutral
1.0830604290829653e+20,Missey Iverson,2021-06-08 15:35:00.137,5,I am trying  to book a small cabin.  Help.  😆,,0x809a55833fbe05ad:0xee6507787fb6a26c,California,2021-06-08 15:56:07.495,"Well this is a first 😄 if you are in fact trying to book, just visit our website. But thanks for the 5☆'s 💙",Negative,Positive
1.165938713944733e+20,Larry S.,2018-04-09 16:11:16.898,5,"My kids and I spent part of last week in Coloma Cottages, and we would highly recommend the Cottages. The location of the cottages is right on the river as advertised and the grounds of the cottages is very nice and comfortable for adults or kids. Also, the location is really just a 5 minute walk to the historic town, and very conveniently located for us to go rafting and enjoy the area.

The cottage we stayed in was the Rio Azul, and it was both very clean and comfortable for my family. The rooms and bedrooms were great and the kitchen was easy to cook dinner in.

I give them 5 stars.",,0x809a55833fbe05ad:0xee6507787fb6a26c,California,2020-06-18 20:41:34.586,Thank you Larry! Its river time again!,Positive,Neutral
1.0626416327867258e+20,Kellie Kerns,2019-08-16 21:49:18.150,5,Phenomenal Spot,,0x809a55833fbe05ad:0xee6507787fb6a26c,California,2020-06-18 20:42:08.031,Thank you Kellie!,Positive,Neutral
1.038792438069802e+20,Karen Oliveira,2020-08-20 15:20:18.893,5,,,0x809a55833fbe05ad:0xee6507787fb6a26c,California,2020-08-20 16:43:00.124,Thank you so much Karen!,No message,Positive
1.0611008485911985e+20,Lou Mezzy,2020-12-18 19:52:59.367,5,,[{'url': ['https://lh5.googleusercontent.com/p/AF1QipNqKXLvUi1GIWTwomzlxswOHASnNfOdEherDUr3=w150-h150-k-no-p']}],0x809a55833fbe05ad:0xee6507787fb6a26c,California,2021-01-18 16:54:33.639,♡ thank you!,No message,Neutral
1.1741808495955449e+20,Tatyana Travkina,2019-06-14 14:18:44.130,5,,,0x809a55833fbe05ad:0xee6507787fb6a26c,California,2020-06-18 20:39:40.320,Thank you Tatyana! Come.back again!,No message,Neutral
1.1129604317519048e+20,Sacramento Taxi Yellow Cab,2019-06-23 16:39:58.377,5,,,0x809a55833fbe05ad:0xee6507787fb6a26c,California,2020-06-18 20:42:24.270,Thank you so much!!,No message,Positive
